scenario,method,fixed_delay_steps,jitter_steps,dropout_prob,vr,rmse_m,area_over_threshold,max_overshoot,recovery_steps_mean,recovery_steps_max,esr_camera
delay_10_drop_30,event_trigger,10,0,0.3,0.00750716764750264,0.4076011092262403,3.416218318318184e-05,0.02042535708966005,,,4.685377999094613
delay_10_drop_30,delay_aware,10,0,0.3,0.0,0.5818241323607241,0.0,0.0,,,4.330768070016599
delay_10_drop_30,sb_sched,10,0,0.3,0.002602987777274785,0.6470174738761533,6.1246410944221095e-06,0.007611321364233453,,,2.4305039393488928
delay_20_drop_30,fixed_low,20,0,0.3,0.0,0.49525201094455107,0.0,0.0,,,6.89603138675117
delay_20_drop_30,fixed_matched,20,0,0.3,0.0,0.5666931289158573,0.0,0.0,,,4.594839293798099
delay_20_drop_30,heuristic,20,0,0.3,0.0,0.5535845732341382,0.0,0.0,,,5.809566923192999
delay_20_drop_30,event_trigger,20,0,0.3,0.00750716764750264,0.4548624278339417,3.4110313878216885e-05,0.02042535708966005,,,4.685377999094613
delay_20_drop_30,delay_aware,20,0,0.3,0.0,0.6656384365158252,0.0,0.0,,,4.383582314772899
delay_20_drop_30,sb_sched,20,0,0.3,0.002602987777274785,0.6853418574210474,6.1246410944230785e-06,0.007611321364233453,,,2.4305039393488928
delay_20_drop_50,fixed_low,20,0,0.5,0.0020748453297117853,0.5662536377726831,2.6866464930720083e-05,0.028269693053591866,,,4.881545193903728
delay_20_drop_50,fixed_matched,20,0,0.5,0.01094009355666214,0.6475650049254289,7.563954611345699e-05,0.026267249785917574,,,3.2518484985664706
delay_20_drop_50,heuristic,20,0,0.5,0.0021502942507922135,0.5949487442362641,2.7735084453578945e-05,0.0287059898192088,,,4.662743322770485
delay_20_drop_50,event_trigger,20,0,0.5,0.023955032443036064,0.4992430261754951,0.0001360701245152501,0.02433568137727503,,,3.961068356722499
delay_20_drop_50,delay_aware,20,0,0.5,0.0,0.6743737284223259,0.0,0.0,,,4.2100497962879135
delay_20_drop_50,sb_sched,20,0,0.5,0.02365323675871435,0.7009324247919559,0.00012784290069724406,0.024025690876972344,,,2.311580199197265
delay_20_jitter_20_drop_30,fixed_low,20,20,0.3,0.0,0.5493703620431917,0.0,0.0,,,6.820582465670741
delay_20_jitter_20_drop_30,fixed_matched,20,20,0.3,0.00041496906594235705,0.6248752341319709,1.1610252389328654e-06,0.005359163678776868,,,4.549569941149842
delay_20_jitter_20_drop_30,heuristic,20,20,0.3,0.0,0.5936362067279456,0.0,0.0,,,5.764297570544741
delay_20_jitter_20_drop_30,event_trigger,20,20,0.3,0.007959861173985212,0.5043574446994943,5.2449843152971045e-05,0.03219187642322063,,,4.557114833257884
delay_20_jitter_20_drop_30,delay_aware,20,20,0.3,0.0,0.7122317485463883,0.0,0.0,,,4.421306775313114
delay_20_jitter_20_drop_30,sb_sched,20,20,0.3,0.004149690659423571,0.7218559195969443,1.371122577373682e-05,0.012350651883152194,,,2.415638471829939
