scenario,method,fixed_delay_steps,jitter_steps,dropout_prob,vr,rmse_m,area_over_threshold,max_overshoot,recovery_steps_mean,recovery_steps_max,esr_camera
delay_10,fixed_low,10,0,0.0,0.0,0.37942669758154407,0.0,0.0,,,9.996982043156784
delay_10,fixed_matched,10,0,0.0,0.0,0.43907112697357664,0.0,0.0,,,6.662139731401841
delay_10,heuristic,10,0,0.0,0.0,0.45691884920440357,0.0,0.0,,,6.662139731401841
delay_10,event_trigger,10,0,0.0,0.0,0.36503843066519653,0.0,0.0,,,5.605854836275841
delay_10,delay_aware,10,0,0.0,0.0,0.5730837746015798,0.0,0.0,,,4.443941451637242
delay_10,sb_sched,10,0,0.0,0.0,0.6351555627231724,0.0,0.0,,,2.4899658094247066
delay_20,fixed_low,20,0,0.0,0.0,0.4259333407277795,0.0,0.0,,,10.004526935264826
delay_20,fixed_matched,20,0,0.0,0.0,0.4839505641954086,0.0,0.0,,,6.669684623509884
delay_20,heuristic,20,0,0.0,0.0,0.49991180145564423,0.0,0.0,,,6.669684623509884
delay_20,event_trigger,20,0,0.0,0.0,0.4154391319707822,0.0,0.0,,,5.613399728383884
delay_20,delay_aware,20,0,0.0,0.0,0.6581647597177911,0.0,0.0,,,4.443941451637242
delay_20,sb_sched,20,0,0.0,0.0,0.6769179011868721,0.0,0.0,,,2.4899658094247066
delay_50,fixed_low,50,0,0.0,0.0,0.5823357396904887,0.0,0.0,,,9.996982043156784
delay_50,fixed_matched,50,0,0.0,0.0,0.635687133882482,0.0,0.0,,,6.669684623509884
delay_50,heuristic,50,0,0.0,0.0,0.647539707315987,0.0,0.0,,,6.662139731401841
delay_50,event_trigger,50,0,0.0,0.0,0.5792853315477831,0.0,0.0,,,5.613399728383884
delay_50,delay_aware,50,0,0.0,0.0,0.9246384954557563,0.0,0.0,,,6.088727931190585
delay_50,sb_sched,50,0,0.0,0.0,0.810579979963541,0.0,0.0,,,2.4899658094247066
delay_10_jitter_10,fixed_low,10,10,0.0,0.0,0.389507842141827,0.0,0.0,,,9.898898445752227
delay_10_jitter_10,fixed_matched,10,10,0.0,0.0,0.4502909854642249,0.0,0.0,,,6.594235702429455
delay_10_jitter_10,heuristic,10,10,0.0,0.0,0.47096110252521,0.0,0.0,,,6.428248076052513
delay_10_jitter_10,event_trigger,10,10,0.0,0.0,0.37514046555704816,0.0,0.0,,,5.545495699411498
delay_10_jitter_10,delay_aware,10,10,0.0,0.0,0.5815240772896484,0.0,0.0,,,4.5193903727176705
delay_10_jitter_10,sb_sched,10,10,0.0,0.0,0.6476582490313871,0.0,0.0,,,2.5122640107031367
delay_20_jitter_20,fixed_low,20,20,0.0,0.0,0.46535579255276566,0.0,0.0,,,9.710276143051155
delay_20_jitter_20,fixed_matched,20,20,0.0,0.0,0.52840543783782,0.0,0.0,,,6.465972536592727
delay_20_jitter_20,heuristic,20,20,0.0,0.0,0.5405695441522971,0.0,0.0,,,6.481062320808813
delay_20_jitter_20,event_trigger,20,20,0.0,0.0005658669081032141,0.44955933911334983,4.2832066219261157e-07,0.002131499652843455,,,5.31160404406217
delay_20_jitter_20,delay_aware,20,20,0.0,0.0,0.6969944384443008,0.0,0.0,,,4.481665912177456
delay_20_jitter_20,sb_sched,20,20,0.0,0.0,0.7085211340331401,0.0,0.0,,,2.50483127694366
delay_10_drop_30,fixed_low,10,0,0.3,0.0,0.4518804346137135,0.0,0.0,,,6.89603138675117
delay_10_drop_30,fixed_matched,10,0,0.3,0.0,0.524338112858508,0.0,0.0,,,4.594839293798099
delay_10_drop_30,heuristic,10,0,0.3,0.0,0.5127230133872263,0.0,0.0,,,5.809566923192999
