method,rate_ratio,measurement_subsample_factor,vr,rmse_m,esr_camera
fixed_high,10:1,1,0.0,0.21124923985138483,19.993964086313568
heuristic,10:1,1,0.0,0.38268430500111583,6.669684623509884
event_trigger,10:1,1,0.0,0.2764296033615684,5.605854836275841
sb_sched,10:1,1,0.0,0.5612207076070245,2.4899658094247066
fixed_high,20:1,2,0.0,0.2708823329352375,9.996982043156784
heuristic,20:1,2,0.0,0.4354987446536696,5.002263467632413
event_trigger,20:1,2,0.0006413158291836427,0.30814055508481053,4.285498717368342
sb_sched,20:1,2,0.0,0.5415758431113593,2.4899658094247066
