method,analysis,phase,vr,mean_trace_ratio,trigger_rate_hz,mean_speed,lag_steps,post_max_overshoot
fixed_low,phase_summary,low,0.0,0.3989735445444856,9.940536295299001,0.17283402829031316,,
fixed_low,phase_summary,medium,0.0,0.4003072700945315,10.031418312387792,0.9004172178818391,,
fixed_low,phase_summary,high,0.0,0.400340661218762,10.018512468692148,1.809937310282865,,
fixed_low,transition,low_to_medium,0.0,0.40033534448881447,10.0,0.5956995676637041,3.0,0.0
fixed_low,transition,medium_to_low,0.0,0.4003413965190781,10.0,0.436114331731528,7.0,0.0
fixed_low,transition,low_to_medium,0.0,0.40033813388468587,10.0,0.6012273234962536,12.0,0.0
fixed_low,transition,medium_to_low,0.0,0.40033506527983387,10.0,0.4756393621724592,10.0,0.0
fixed_low,transition,low_to_high,0.0,0.40033476106081517,10.0,0.5696785461951485,12.0,0.0
fixed_low,transition,high_to_low,0.0,0.4003347479680744,10.0,0.5640300151148181,11.0,0.0
fixed_low,transition,low_to_medium,0.0,0.40033441349702775,10.0,0.7380328889657259,15.0,0.0
fixed_low,transition,medium_to_low,0.0,0.40033434506323856,10.0,0.5273862800623212,17.0,0.0
fixed_low,transition,low_to_high,0.0,0.4003343798541828,10.0,0.6619001278110389,12.0,0.0
fixed_low,transition,high_to_low,0.0,0.40033438121472115,10.0,0.6540598915640302,11.0,0.0
fixed_low,transition,low_to_medium,0.0,0.40033440592125125,10.0,0.7040337952950881,12.0,0.0
fixed_low,transition,medium_to_low,0.0,0.4003344759550274,10.0,0.5805589075814828,18.0,0.0
fixed_low,transition,low_to_medium,0.0,0.40033448381438835,10.0,0.7686740297928278,16.0,0.0
fixed_low,transition,medium_to_high,0.0,0.4003344852478263,10.0,0.5439737185252368,12.0,0.0
fixed_low,transition,high_to_medium,0.0,0.40033448523440773,10.0,0.5365424495391128,11.0,0.0
fixed_low,transition,medium_to_low,0.0,0.4003344838696324,10.0,0.5345024718063022,4.0,0.0
fixed_low,transition,low_to_medium,0.0,0.40033448340647987,10.0,0.5987954090803121,12.0,0.0
fixed_low,transition,medium_to_low,0.0,0.4003344833675766,10.0,0.5985956002040278,11.0,0.0
fixed_low,transition,low_to_medium,0.0,0.40033448221652373,10.0,0.7489790614097326,0.0,0.0
fixed_low,transition,medium_to_high,0.0,0.4003344804019278,10.0,0.5815551863785007,12.0,0.0
fixed_low,transition,high_to_medium,0.0,0.4003344803928065,10.0,0.5758309871764095,11.0,0.0
fixed_low,transition,medium_to_low,0.0,0.40033448028881446,10.0,0.6208619652322835,0.0,0.0
fixed_low,transition,low_to_medium,0.0,0.400334480112979,10.0,0.7596241375919788,2.0,0.0
fixed_low,transition,medium_to_low,0.0,0.40033448009661976,10.0,0.5499095360074838,12.0,0.0
