scenario,method,budget_window_steps,max_updates_per_window,vr,rmse_m,area_over_threshold,max_overshoot,esr_camera
budget_1_per_s,fixed_low,200,1,0.6114757808963331,0.8879329255877858,0.020837356854314166,0.07421966126792776,0.995925758261657
budget_1_per_s,fixed_matched,200,1,0.6114003319752528,0.8901272407973617,0.02081260417017345,0.07421966126792781,0.995925758261657
budget_1_per_s,heuristic,200,1,0.6111362607514712,0.889209289143579,0.020837912484765256,0.07421966126792776,1.0034706503696997
budget_1_per_s,event_trigger,200,1,0.6111739852120115,0.8856441753249192,0.020839792505200388,0.07421966126792778,1.0034706503696997
budget_1_per_s,delay_aware,200,1,0.6111739852120115,0.8856441753249192,0.020839792505200388,0.07421966126792778,1.0034706503696997
budget_1_per_s,sb_sched,200,1,0.6111362607514712,0.8879872699150979,0.020838146322462402,0.07421966126792776,1.0034190575293593
budget_2_per_s,fixed_low,200,2,0.30586992606005736,0.708339959604199,0.004984051177866325,0.033787851078446784,1.991851516523314
budget_2_per_s,fixed_matched,200,2,0.2753885619435642,0.6935817120293273,0.00400213390373686,0.030004851012577577,1.991851516523314
budget_2_per_s,heuristic,200,2,0.30586992606005736,0.7144758083307975,0.0049837365883386555,0.033787851078446784,1.991851516523314
budget_2_per_s,event_trigger,200,2,0.19601629696695339,0.7070647439749295,0.0026096031939279404,0.03744588156007786,1.9993964086313567
budget_2_per_s,delay_aware,200,2,0.210389316432775,0.6829265790829394,0.00229001224449258,0.02216316915928876,1.9993964086313567
budget_2_per_s,sb_sched,200,2,0.14041044213067752,0.6620688911127093,0.000986639632833973,0.01411931531446739,1.999405381299242
budget_5_per_s,fixed_low,200,5,0.0,0.4705405683091086,0.0,0.0,4.979628791308285
budget_5_per_s,fixed_matched,200,5,0.0,0.44526967455102034,0.0,0.0,4.99471857552437
budget_5_per_s,heuristic,200,5,0.0,0.48500034426657945,0.0,0.0,4.987173683416327
budget_5_per_s,event_trigger,200,5,0.0025275388561943565,0.49002574865078624,2.587479015524584e-06,0.003210411679871364,3.387656556511242
budget_5_per_s,delay_aware,200,5,0.0,0.5723675568781145,0.0,0.0,2.8519692168401996
budget_5_per_s,sb_sched,200,5,0.0,0.6004397735482256,0.0,0.0,2.4899658094247066
budget_10_per_s,fixed_low,200,10,0.0,0.3381110652649175,0.0,0.0,9.996982043156784
budget_10_per_s,fixed_matched,200,10,0.0,0.3988689902078047,0.0,0.0,6.669684623509884
budget_10_per_s,heuristic,200,10,0.0,0.4187538502834508,0.0,0.0,6.669684623509884
budget_10_per_s,event_trigger,200,10,0.0,0.36614137936113983,0.0,0.0,4.609929078014185
budget_10_per_s,delay_aware,200,10,0.0,0.5723675568781145,0.0,0.0,2.8519692168401996
budget_10_per_s,sb_sched,200,10,0.0,0.6004397735482256,0.0,0.0,2.4899658094247066
